Num,File,Subset,Fruit,Color,Count,DateTime,GPSAltitude,GPSLatitude,GPSLongitude>,GPSImgDirection,GPSDestBearing,ShutterSpeedValue,SubsecTimeDigitized,ExposureTime,BrightnessValue
44,IMG_4110.png,BANANA_1,BACKGROUND,BROWN,0-ZERO,2019-07-21 09:02:59,330,37;53.7952N,122;15.5447W,404162/1413,404162/1413,84572/17235,779,1/30,85771/39020
45,IMG_4104.png,BANANA_1,BACKGROUND,BROWN,0-ZERO,2019-07-21 09:02:36,330,37;53.795N,122;15.5489W,209073/1820,209073/1820,84572/17235,052,1/30,61618/21601
46,IMG_3939.png,BANANA_1,BACKGROUND,BROWN,0-ZERO,2019-07-21 08:48:42,326,37;53.8022N,122;15.5511W,173777/829,173777/829,194444/28147,043,1/120,17099/3052
47,IMG_3905.png,BANANA_1,BACKGROUND,BROWN,0-ZERO,2019-07-21 08:46:08,329,37;53.8018N,122;15.5502W,904697/3848,1076091/4577,194444/28147,296,1/120,70081/11863
48,IMG_3911.png,BANANA_1,BACKGROUND,BROWN,0-ZERO,2019-07-21 08:46:30,328,37;53.7998N,122;15.5521W,1219770/3703,1219770/3703,49625/8401,884,1/60,51208/9905
49,IMG_3907.png,BANANA_1,BACKGROUND,BROWN,0-ZERO,2019-07-21 08:46:15,329,37;53.7998N,122;15.5516W,182768/667,182768/667,194444/28147,457,1/120,86294/14925
50,IMG_3913.png,BANANA_1,BACKGROUND,BROWN,0-ZERO,2019-07-21 08:46:39,328,37;53.8023N,122;15.5507W,241308/787,241308/787,49625/8401,611,1/60,153554/28323
51,IMG_4098.png,BANANA_1,BACKGROUND,BROWN,0-ZERO,2019-07-21 09:02:16,330,37;53.7973N,122;15.5475W,967841/6068,967841/6068,84572/17235,317,1/30,395791/134364
52,IMG_4113.png,BANANA_1,BACKGROUND,BROWN,0-ZERO,2019-07-21 09:03:31,330,37;53.7955N,122;15.5447W,180069/988,180069/988,84572/17235,441,1/30,42797/15633
53,IMG_3899.png,BANANA_1,BACKGROUND,BROWN,0-ZERO,2019-07-21 08:45:43,326,37;53.797N,122;15.5557W,917693/10883,920560/10917,49625/8401,430,1/60,71053/13332
54,IMG_4106.png,BANANA_1,BACKGROUND,BROWN,0-ZERO,2019-07-21 09:02:44,329,37;53.7957N,122;15.5562W,250312/1351,250312/1351,84572/17235,543,1/30,44926/15923
55,IMG_4066.png,BANANA_1,BACKGROUND,BROWN,0-ZERO,2019-07-21 08:58:53,330,37;53.7987N,122;15.5544W,137423/1074,137423/1074,194444/28147,723,1/120,57379/9928
56,IMG_4072.png,BANANA_1,BACKGROUND,BROWN,0-ZERO,2019-07-21 08:59:19,330,37;53.798N,122;15.5539W,747242/2301,867723/2672,84572/17235,936,1/30,51921/16472
57,IMG_4076.png,BANANA_1,BACKGROUND,BROWN,0-ZERO,2019-07-21 09:00:24,330,37;53.7982N,122;15.5438W,565611/2750,565611/2750,84572/17235,938,1/30,34103/8891
58,IMG_4062.png,BANANA_1,BACKGROUND,BROWN,0-ZERO,2019-07-21 08:58:38,330,37;53.7997N,122;15.5475W,159904/2807,159904/2807,260036/48857,339,1/40,39376/7639
59,IMG_4102.png,BANANA_1,BACKGROUND,BROWN,0-ZERO,2019-07-21 09:02:30,330,37;53.795N,122;15.5484W,180339/1651,180339/1651,84572/17235,594,1/30,24814/9207
60,IMG_4116.png,BANANA_1,BACKGROUND,BROWN,0-ZERO,2019-07-21 09:03:51,332,37;53.797N,122;15.5457W,197968/3979,197968/3979,84572/17235,356,1/30,27624/9067
61,IMG_3917.png,BANANA_1,BACKGROUND,BROWN,0-ZERO,2019-07-21 08:46:54,328,37;53.8005N,122;15.5525W,313205/6047,313205/6047,194444/28147,218,1/120,1080528/182681
62,IMG_3903.png,BANANA_1,BACKGROUND,BROWN,0-ZERO,2019-07-21 08:45:55,326,37;53.7998N,122;15.5521W,287175/2587,287175/2587,194444/28147,048,1/120,26109/4415
63,IMG_4088.png,BANANA_1,BACKGROUND,BROWN,0-ZERO,2019-07-21 09:01:21,329,37;53.7967N,122;15.5479W,266192/837,266192/837,49625/8401,775,1/60,73653/14558
64,IMG_3929.png,BANANA_1,BACKGROUND,BROWN,0-ZERO,2019-07-21 08:47:46,323,37;53.8022N,122;15.5507W,283865/2521,283865/2521,194444/28147,300,1/120,50493/8581
65,IMG_3915.png,BANANA_1,BACKGROUND,BROWN,0-ZERO,2019-07-21 08:46:44,330,37;53.8018N,122;15.5502W,491609/1451,491609/1451,49625/8401,049,1/60,78659/14423
66,IMG_3901.png,BANANA_1,BACKGROUND,BROWN,0-ZERO,2019-07-21 08:45:50,327,37;53.7988N,122;15.5534W,341521/3415,341521/3415,49625/8401,240,1/60,52765/9202
67,IMG_4100.png,BANANA_1,BACKGROUND,BROWN,0-ZERO,2019-07-21 09:02:22,331,37;53.7963N,122;15.5466W,418220/2273,418220/2273,84572/17235,367,1/30,12451/4428
68,IMG_4114.png,BANANA_1,BACKGROUND,BROWN,0-ZERO,2019-07-21 09:03:33,331,37;53.7955N,122;15.5461W,129668/689,129668/689,84572/17235,028,1/30,53759/24250
69,IMG_4128.png,BANANA_1,BACKGROUND,BROWN,0-ZERO,2019-07-21 09:05:01,329,37;53.7968N,122;15.5429W,390367/2686,390367/2686,84572/17235,859,1/30,89941/31171
70,IMG_4074.png,BANANA_1,BACKGROUND,BROWN,0-ZERO,2019-07-21 09:00:17,330,37;53.8017N,122;15.5424W,1465209/8192,1465209/8192,84572/17235,182,1/30,50981/12704
71,IMG_4060.png,BANANA_1,BACKGROUND,BROWN,0-ZERO,2019-07-21 08:58:28,331,37;53.7988N,122;15.5484W,10827/31,10827/31,84572/17235,326,1/30,127208/41847
72,IMG_4048.png,BANANA_1,BACKGROUND,BROWN,0-ZERO,2019-07-21 08:57:39,331,37;53.7975N,122;15.5548W,49491/16384,49491/16384,84572/17235,883,1/30,62707/20777
73,IMG_3973.png,BANANA_1,BACKGROUND,BROWN,0-ZERO,2019-07-21 08:51:33,327,37;53.7992N,122;15.5557W,96027/1343,96027/1343,196192/28013,607,1/128,38236/5597
74,IMG_3967.png,BANANA_1,BACKGROUND,BROWN,0-ZERO,2019-07-21 08:50:57,328,37;53.8005N,122;15.5571W,1434448/5141,1355485/4858,194444/28147,669,1/120,75251/13483
75,IMG_3999.png,BANANA_1,BACKGROUND,BROWN,0-ZERO,2019-07-21 08:53:35,331,37;53.7992N,122;15.5562W,882259/7851,920579/8192,194444/28147,747,1/120,81922/12793
76,IMG_4012.png,BANANA_1,BACKGROUND,BROWN,0-ZERO,2019-07-21 08:54:53,330,37;53.7992N,122;15.5539W,75431/1024,75431/1024,194444/28147,684,1/120,2487332/369853
77,IMG_4006.png,BANANA_1,BACKGROUND,BROWN,0-ZERO,2019-07-21 08:53:53,331,37;53.7988N,122;15.5498W,289662/3511,289662/3511,194444/28147,441,1/120,91021/13367
78,IMG_4010.png,BANANA_1,BACKGROUND,BROWN,0-ZERO,2019-07-21 08:54:18,330,37;53.7975N,122;15.553W,316898/2447,316898/2447,26740/3853,007,1/123,109837/16514
79,IMG_4004.png,BANANA_1,BACKGROUND,BROWN,0-ZERO,2019-07-21 08:53:47,330,37;53.7988N,122;15.5562W,201456/2017,201456/2017,194444/28147,422,1/120,18784/2813
80,IMG_4038.png,BANANA_1,BACKGROUND,BROWN,0-ZERO,2019-07-21 08:56:46,330,37;53.7973N,122;15.5603W,602047/7905,623905/8192,194444/28147,762,1/120,62849/9496
81,IMG_3959.png,BANANA_1,BACKGROUND,BROWN,0-ZERO,2019-07-21 08:50:18,328,37;53.7985N,122;15.5544W,584623/1893,584623/1893,194444/28147,111,1/120,162101/28376
82,IMG_3971.png,BANANA_1,BACKGROUND,BROWN,0-ZERO,2019-07-21 08:51:27,327,37;53.7988N,122;15.5566W,404855/4109,273319/2774,51945/7373,854,1/132,108561/15908
83,IMG_3965.png,BANANA_1,BACKGROUND,BROWN,0-ZERO,2019-07-21 08:50:48,327,37;53.7998N,122;15.5566W,314843/2959,314843/2959,194444/28147,755,1/120,277955/45381
84,IMG_3949.png,BANANA_1,BACKGROUND,BROWN,0-ZERO,2019-07-21 08:49:36,327,37;53.801N,122;15.5562W,1962001/5628,1820115/5221,49625/8401,780,1/60,62083/12234
85,IMG_3961.png,BANANA_1,BACKGROUND,BROWN,0-ZERO,2019-07-21 08:50:32,328,37;53.7978N,122;15.5539W,723106/2051,723106/2051,194444/28147,366,1/120,154481/26414
86,IMG_3975.png,BANANA_1,BACKGROUND,BROWN,0-ZERO,2019-07-21 08:51:39,328,37;53.7978N,122;15.5562W,229924/3189,229924/3189,77384/10479,302,1/167,38717/5333
87,IMG_4014.png,BANANA_1,BACKGROUND,BROWN,0-ZERO,2019-07-21 08:54:57,330,37;53.7963N,122;15.5562W,257387/2601,257387/2601,75795/10826,292,1/128,73027/10908
88,IMG_4028.png,BANANA_1,BACKGROUND,BROWN,0-ZERO,2019-07-21 08:56:00,331,37;53.7973N,122;15.5612W,166511/3666,166511/3666,196192/28013,611,1/128,62516/8999
89,IMG_3989.png,BANANA_1,BACKGROUND,BROWN,0-ZERO,2019-07-21 08:52:41,325,37;53.7973N,122;15.5539W,41626/1185,41626/1185,194444/28147,489,1/120,10006/1575
90,IMG_4002.png,BANANA_1,BACKGROUND,BROWN,0-ZERO,2019-07-21 08:53:39,330,37;53.7973N,122;15.5576W,385048/6471,385048/6471,194444/28147,115,1/120,112105/17033
91,IMG_4016.png,BANANA_1,BACKGROUND,BROWN,0-ZERO,2019-07-21 08:55:04,329,37;53.7943N,122;15.5621W,464159/1673,464159/1673,194444/28147,859,1/120,15753/2398
92,IMG_3963.png,BANANA_1,BACKGROUND,BROWN,0-ZERO,2019-07-21 08:50:39,328,37;53.7988N,122;15.5548W,151027/2048,151027/2048,194444/28147,983,1/120,277955/45381
93,IMG_3977.png,BANANA_1,BACKGROUND,BROWN,0-ZERO,2019-07-21 08:51:45,328,37;53.7982N,122;15.5566W,292721/4096,292721/4096,123776/17113,484,1/150,50663/7200
94,IMG_3991.png,BANANA_1,BACKGROUND,BROWN,0-ZERO,2019-07-21 08:52:56,328,37;53.7978N,122;15.5534W,1248986/15825,1293105/16384,194444/28147,404,1/120,155241/25489
95,IMG_4026.png,BANANA_1,BACKGROUND,BROWN,0-ZERO,2019-07-21 08:55:54,331,37;53.7975N,122;15.5589W,546283/1813,546283/1813,82093/11219,658,1/159,77743/10930
96,IMG_3985.png,BANANA_1,BACKGROUND,BROWN,0-ZERO,2019-07-21 08:52:22,325,37;53.7978N,122;15.5608W,199665/794,199665/794,85883/12237,870,1/130,82291/11992
97,IMG_4032.png,BANANA_1,BACKGROUND,BROWN,0-ZERO,2019-07-21 08:56:30,330,37;53.7992N,122;15.5598W,599522/1693,599522/1693,298895/41831,601,1/142,290101/41142
98,IMG_3953.png,BANANA_1,BACKGROUND,BROWN,0-ZERO,2019-07-21 08:49:49,326,37;53.7998N,122;15.5571W,364151/6699,445309/8192,49625/8401,247,1/60,64007/11570
99,IMG_3945.png,BANANA_1,BACKGROUND,BROWN,0-ZERO,2019-07-21 08:49:07,329,37;53.8015N,122;15.5525W,431196/1201,431196/1201,194444/28147,761,1/120,64064/11257
100,IMG_3951.png,BANANA_1,BACKGROUND,BROWN,0-ZERO,2019-07-21 08:49:43,327,37;53.801N,122;15.5562W,290826/853,290826/853,260036/48857,334,1/40,114688/24067
101,IMG_3979.png,BANANA_1,BACKGROUND,BROWN,0-ZERO,2019-07-21 08:51:56,327,37;53.8015N,122;15.5585W,267142/1303,267142/1303,23591/3352,720,1/131,81901/11744
102,IMG_4018.png,BANANA_1,BACKGROUND,BROWN,0-ZERO,2019-07-21 08:55:14,329,37;53.7948N,122;15.5603W,185451/2284,185451/2284,650813/92180,702,1/133,90859/13253
103,IMG_4024.png,BANANA_1,BACKGROUND,BROWN,0-ZERO,2019-07-21 08:55:41,329,37;53.7978N,122;15.5576W,293989/971,293989/971,38907/5561,775,1/128,77986/11311
104,IMG_3993.png,BANANA_1,BACKGROUND,BROWN,0-ZERO,2019-07-21 08:53:03,327,37;53.7968N,122;15.5539W,248175/4096,248175/4096,194444/28147,887,1/120,45347/7297
105,IMG_4030.png,BANANA_1,BACKGROUND,BROWN,0-ZERO,2019-07-21 08:56:21,331,37;53.796N,122;15.5594W,1594975/44052,1575351/43510,49784/7101,760,1/129,102802/14929
106,IMG_3987.png,BANANA_1,BACKGROUND,BROWN,0-ZERO,2019-07-21 08:52:34,325,37;53.7982N,122;15.5548W,306470/3727,306470/3727,194444/28147,010,1/120,45241/6829
107,IMG_4008.png,BANANA_1,BACKGROUND,BROWN,0-ZERO,2019-07-21 08:54:13,330,37;53.7985N,122;15.5525W,171653/2048,171653/2048,60297/8203,346,1/163,69057/9487
108,IMG_3983.png,BANANA_1,BACKGROUND,BROWN,0-ZERO,2019-07-21 08:52:14,326,37;53.7952N,122;15.5598W,335647/1314,335647/1314,153028/21535,783,1/138,46819/6760
109,IMG_4034.png,BANANA_1,BACKGROUND,BROWN,0-ZERO,2019-07-21 08:56:35,330,37;53.7982N,122;15.5612W,60659/5083,60659/5083,650813/92180,545,1/133,58957/8383
110,IMG_3997.png,BANANA_1,BACKGROUND,BROWN,0-ZERO,2019-07-21 08:53:15,327,37;53.7967N,122;15.5571W,261003/3377,261003/3377,194444/28147,582,1/120,35111/5480
111,IMG_4020.png,BANANA_1,BACKGROUND,BROWN,0-ZERO,2019-07-21 08:55:23,330,37;53.7973N,122;15.5598W,69581/613,69581/613,103565/14521,552,1/140,77563/10997
112,IMG_3955.png,BANANA_1,BACKGROUND,BROWN,0-ZERO,2019-07-21 08:49:55,326,37;53.7993N,122;15.5585W,188263/4857,188263/4857,49625/8401,105,1/60,100009/19381
113,IMG_3941.png,BANANA_1,BACKGROUND,BROWN,0-ZERO,2019-07-21 08:48:50,325,37;53.8022N,122;15.5511W,270470/973,270470/973,49625/8401,911,1/60,243482/47153
114,IMG_3969.png,BANANA_1,BACKGROUND,BROWN,0-ZERO,2019-07-21 08:51:04,328,37;53.8015N,122;15.5571W,621745/1831,621745/1831,49625/8401,714,1/60,30127/5701
115,IMG_3957.png,BANANA_1,BACKGROUND,BROWN,0-ZERO,2019-07-21 08:50:11,328,37;53.7992N,122;15.5566W,617353/2327,617353/2327,194444/28147,996,1/120,71671/11624
116,IMG_3943.png,BANANA_1,BACKGROUND,BROWN,0-ZERO,2019-07-21 08:49:00,329,37;53.801N,122;15.5507W,717063/2348,717063/2348,49625/8401,714,1/60,61977/10813
117,IMG_4036.png,BANANA_1,BACKGROUND,BROWN,0-ZERO,2019-07-21 08:56:41,330,37;53.7975N,122;15.5617W,120351/2713,120351/2713,77704/11215,996,1/122,44665/6528
118,IMG_3981.png,BANANA_1,BACKGROUND,BROWN,0-ZERO,2019-07-21 08:52:02,326,37;53.7978N,122;15.5598W,103211/553,103211/553,78044/10635,137,1/162,113459/15886
119,IMG_4022.png,BANANA_1,BACKGROUND,BROWN,0-ZERO,2019-07-21 08:55:35,330,37;53.7978N,122;15.5576W,184466/759,184466/759,198590/28719,042,1/121,132871/19659
120,IMG_3995.png,BANANA_1,BACKGROUND,BROWN,0-ZERO,2019-07-21 08:53:09,327,37;53.797N,122;15.5562W,312413/4096,312413/4096,194444/28147,585,1/120,49357/8198
121,IMG_4086.png,BANANA_1,BACKGROUND,BROWN,0-ZERO,2019-07-21 09:01:14,329,37;53.7968N,122;15.5479W,353770/1291,353770/1291,260036/48857,671,1/40,78314/16181
122,IMG_3931.png,BANANA_1,BACKGROUND,BROWN,0-ZERO,2019-07-21 08:47:58,323,37;53.8022N,122;15.5507W,458917/1610,458917/1610,49625/8401,815,1/60,48525/8953
123,IMG_4092.png,BANANA_1,BACKGROUND,BROWN,0-ZERO,2019-07-21 09:01:39,330,37;53.7985N,122;15.5438W,404305/2287,404305/2287,84572/17235,692,1/30,35553/12302
124,IMG_3925.png,BANANA_1,BACKGROUND,BROWN,0-ZERO,2019-07-21 08:47:30,327,37;53.8022N,122;15.5507W,165811/536,165811/536,194444/28147,053,1/120,34491/5749
125,IMG_3919.png,BANANA_1,BACKGROUND,BROWN,0-ZERO,2019-07-21 08:47:01,327,37;53.7997N,122;15.5521W,349759/2802,349759/2802,49625/8401,652,1/60,16409/2877
126,IMG_4118.png,BANANA_1,BACKGROUND,BROWN,0-ZERO,2019-07-21 09:04:03,330,37;53.7993N,122;15.5457W,34705/512,34705/512,84572/17235,699,1/30,32765/10659
127,IMG_3893.png,BANANA_1,BACKGROUND,BROWN,0-ZERO,2019-07-21 08:45:20,327,37;53.798N,122;15.553W,471153/1618,471153/1618,194444/28147,804,1/120,40279/6732
128,IMG_4124.png,BANANA_1,BACKGROUND,BROWN,0-ZERO,2019-07-21 09:04:41,330,37;53.7978N,122;15.5429W,236816/3123,236816/3123,84572/17235,626,1/30,152577/56006
129,IMG_4130.png,BANANA_1,BACKGROUND,BROWN,0-ZERO,2019-07-21 09:05:11,330,37;53.7992N,122;15.5424W,830948/2679,963391/3106,84572/17235,434,1/30,71986/23755
130,IMG_4078.png,BANANA_1,BACKGROUND,BROWN,0-ZERO,2019-07-21 09:00:35,329,37;53.7982N,122;15.5452W,342997/2319,342997/2319,84572/17235,589,1/30,60317/15006
131,IMG_4050.png,BANANA_1,BACKGROUND,BROWN,0-ZERO,2019-07-21 08:57:47,331,37;53.7967N,122;15.5557W,221165/653,221165/653,84572/17235,108,1/30,24664/9277
132,IMG_4044.png,BANANA_1,BACKGROUND,BROWN,0-ZERO,2019-07-21 08:57:01,330,37;53.7962N,122;15.5608W,68346/9535,117439/16384,194444/28147,333,1/120,65723/9819
133,IMG_4052.png,BANANA_1,BACKGROUND,BROWN,0-ZERO,2019-07-21 08:57:54,331,37;53.797N,122;15.5534W,183336/515,183336/515,84572/17235,643,1/30,35585/13029
134,IMG_4046.png,BANANA_1,BACKGROUND,BROWN,0-ZERO,2019-07-21 08:57:32,332,37;53.797N,122;15.553W,455028/1445,455028/1445,84572/17235,182,1/30,41972/15537
135,IMG_4126.png,BANANA_1,BACKGROUND,BROWN,0-ZERO,2019-07-21 09:04:53,331,37;53.7967N,122;15.5383W,1622233/16384,1622233/16384,84572/17235,594,1/30,18052/6619
136,IMG_3891.png,BANANA_1,BACKGROUND,BROWN,0-ZERO,2019-07-21 08:45:12,326,37;53.7962N,122;15.5566W,392912/1719,392912/1719,194444/28147,040,1/120,112169/19149
137,IMG_4132.png,BANANA_1,BACKGROUND,BROWN,0-ZERO,2019-07-21 09:05:18,330,37;53.7993N,122;15.5406W,31181/5165,31181/5165,84572/17235,087,1/30,103503/33698
138,IMG_3933.png,BANANA_1,BACKGROUND,BROWN,0-ZERO,2019-07-21 08:48:05,327,37;53.8017N,122;15.5511W,1002389/3706,900960/3331,49625/8401,909,1/60,72810/12821
139,IMG_4084.png,BANANA_1,BACKGROUND,BROWN,0-ZERO,2019-07-21 09:01:02,328,37;53.7975N,122;15.547W,376021/2097,376021/2097,84572/17235,603,1/30,44159/12730
